dataset,method,Hit@1,Hit@3,Hit@5,MRR,Hit@1_SD,Hit@3_SD,Hit@5_SD,MRR_SD
ESC-50,AAKV-FrozenRq,92.7,97.0,97.65,95.08716097685137,,,,
ESC-50,AAKV-Frequency5,92.85,97.3,97.65,95.22799431018471,,,,
ESC-50,AAKV-Random5-mean,92.45,97.0,97.65000000000002,94.89660542129582,0.2291287847477929,0.22912878474779294,1.7404671430534633e-14,0.1434358483524735
ESC-50,AAKV-Selector5,94.25,96.8,97.65,95.75466097685138,,,,
UrbanSound8K,AAKV-FrozenRq,85.77645442052221,96.56436097114063,98.64864864864865,91.46736324702427,,,,
UrbanSound8K,AAKV-Frequency5,85.10077874484654,96.42693540998626,98.64864864864865,91.04344356463001,,,,
UrbanSound8K,AAKV-Random5-mean,86.01694915254238,96.75522980607725,98.64864864864865,91.6084789389874,0.1374255611543731,0.0462832327568382,0.0,0.08937255284272859
UrbanSound8K,AAKV-Selector5,87.17361429225836,96.89647274393037,98.64864864864865,92.21766863716016,,,,
FSD50K,AAKV-FrozenRq,62.47678623790441,81.08689277685465,86.55067930798553,73.32343622758194,,,,
FSD50K,AAKV-Frequency5,62.60385104095396,80.61773042713322,86.46271136741277,73.25951848740016,,,,
FSD50K,AAKV-Random5-mean,63.25546541556707,80.70569836770598,86.46596943928584,73.62021914434337,0.13484639550760508,0.09324007442253864,0.039502022132028206,0.0774943412639138
FSD50K,AAKV-Selector5,64.50004887107809,80.57863356465643,86.46271136741277,74.14136925368025,,,,
AudioSet,AAKV-FrozenRq,29.623396970927875,47.05506876341902,54.906284454244755,41.807899230504326,,,,
AudioSet,AAKV-Frequency5,29.919340799628618,47.31619567109615,54.95270701560958,42.02703180722466,,,,
AudioSet,AAKV-Random5-mean,29.818758583338166,47.086017137662246,54.91402154780556,41.920470522891215,0.20844432238221905,0.028624632172668155,0.02680207830045545,0.09414556937872147
AudioSet,AAKV-Selector5,31.306214820402715,46.93320953983636,54.859861892879934,42.569859443747745,,,,
TUT2017,AAKV-FrozenRq,51.28205128205128,80.94017094017094,91.58119658119658,67.8646314511699,,,,
TUT2017,AAKV-Frequency5,50.085470085470085,80.06410256410257,91.55982905982906,67.00461415365262,,,,
TUT2017,AAKV-Random5-mean,51.75925925925927,81.02564102564104,91.57407407407408,68.23845567221636,0.1075474990779324,0.09313886631497093,0.012336544213454525,0.026489643863492927
TUT2017,AAKV-Selector5,56.36752136752137,80.40598290598291,91.53846153846153,70.4168801284186,,,,
